State,Candidate,Average_Percentage
AZ,Donald Trump,0.47051940625
AZ,Kamala Harris,0.4622063802083333
CA,Donald Trump,0.3498307734375
CA,Kamala Harris,0.59357203125
CO,Donald Trump,0.4166803
CO,Kamala Harris,0.5296949000000001
FL,Donald Trump,0.49555844642857144
FL,Kamala Harris,0.4481382142857143
GA,Donald Trump,0.4751268072916667
GA,Kamala Harris,0.46680058854166667
IN,Donald Trump,0.5605750714285714
IN,Kamala Harris,0.3923008571428572
MA,Donald Trump,0.33024631578947367
MA,Kamala Harris,0.6001177894736842
MD,Donald Trump,0.3291935106382979
MD,Kamala Harris,0.6186625957446809
ME,Donald Trump,0.42079483333333334
ME,Kamala Harris,0.5100516666666667
MI,Donald Trump,0.45442378645833337
MI,Kamala Harris,0.472521109375
MN,Donald Trump,0.4324262564102564
MN,Kamala Harris,0.49762196153846155
MO,Donald Trump,0.5405182142857143
MO,Kamala Harris,0.41409143877551025
MT,Donald Trump,0.5604447325581395
MT,Kamala Harris,0.3882709186046512
NC,Donald Trump,0.4743091588235294
NC,Kamala Harris,0.46841660588235295
NE,Donald Trump,0.56383025
NE,Kamala Harris,0.38585625
NH,Donald Trump,0.441783177631579
NH,Kamala Harris,0.5078786315789474
NM,Donald Trump,0.4212467254901961
NM,Kamala Harris,0.4999420882352941
NV,Donald Trump,0.46376290804597703
NV,Kamala Harris,0.4677448908045977
NY,Donald Trump,0.395675
NY,Kamala Harris,0.5418633
OH,Donald Trump,0.5177700087719298
OH,Kamala Harris,0.43131177192982456
PA,Donald Trump,0.4642054583333333
PA,Kamala Harris,0.472130578125
SC,Donald Trump,0.5389814
SC,Kamala Harris,0.4161497
TX,Donald Trump,0.5058130151515151
TX,Kamala Harris,0.44198376515151516
UT,Donald Trump,0.5658088
UT,Kamala Harris,0.3442657
VA,Donald Trump,0.42881227272727274
VA,Kamala Harris,0.4997628
WA,Donald Trump,0.36377592105263157
WA,Kamala Harris,0.5558558157894737
WI,Donald Trump,0.46014513020833336
WI,Kamala Harris,0.479218796875
